"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
3.978179700E-2,6.532251680E1,2.537407130E1,1.438367010E1,NaN,NaN,6.316600037E1,9.566599846E0
1.128114840E-1,6.532251680E1,2.537407130E1,1.438367010E1,NaN,NaN,6.367699814E1,9.668799400E0
1.245936720E-1,6.532251680E1,2.537407130E1,1.438367010E1,NaN,NaN,6.376100159E1,9.685600281E0
1.132477617E0,6.532251680E1,2.537407130E1,1.438367010E1,NaN,NaN,7.081700134E1,1.109679985E1
1.159844297E0,6.532251680E1,2.537407130E1,1.438367010E1,NaN,NaN,7.100599670E1,1.113459969E1
2.126140586E0,6.532251680E1,2.537407130E1,1.438367010E1,NaN,NaN,7.776799774E1,1.248699951E1
2.149259492E0,6.532251680E1,2.537407130E1,1.438367010E1,NaN,NaN,7.792900085E1,1.251919937E1
2.849150186E0,6.532274424E1,2.537434889E1,1.238365817E1,1.279999971E0,2.867000122E2,8.673469543E0,1.300000000E1
3.849129173E0,6.532267966E1,2.537434084E1,1.138368525E1,1.559999943E0,2.867000122E2,6.632653236E0,1.100000000E1
4.849128590E0,6.532268079E1,2.537428309E1,1.138366539E1,1.559999943E0,2.827999878E2,5.102040768E0,8.000000000E0
5.849128050E0,6.532268410E1,2.537426381E1,1.038365740E1,8.100000024E-1,2.698999939E2,4.081632614E0,7.000000000E0
6.849127471E0,6.532268494E1,2.537423263E1,8.383646573E0,1.329999924E0,2.645000000E2,3.571428537E0,6.000000000E0
7.849126858E0,6.532268569E1,2.537420724E1,8.383637719E0,1.129999995E0,2.675000000E2,3.571428537E0,6.000000000E0
8.849126411E0,6.532269076E1,2.537418259E1,9.383627127E0,1.350000024E0,2.727000122E2,3.061224461E0,5.000000000E0
9.849125849E0,6.532269860E1,2.537413876E1,1.038360883E1,1.449999928E0,2.738999939E2,2.551020384E0,4.000000000E0
1.084912537E1,6.532270049E1,2.537409877E1,1.138359457E1,1.240000010E0,2.710000000E2,2.040816307E0,4.000000000E0
1.184912480E1,6.532270430E1,2.537405469E1,1.238357804E1,1.339999914E0,2.760000000E2,2.040816307E0,4.000000000E0
1.284912429E1,6.532270506E1,2.537402627E1,1.138356818E1,1.329999924E0,2.825000000E2,2.040816307E0,3.000000000E0
1.384912374E1,6.532270510E1,2.537400180E1,1.238355996E1,1.490000010E0,2.760000000E2,1.530612230E0,3.000000000E0
1.484912333E1,6.532270707E1,2.537396760E1,1.238354760E1,1.480000019E0,2.747000122E2,2.040816307E0,3.000000000E0
1.584912287E1,6.532270443E1,2.537393432E1,1.138353767E1,1.469999909E0,2.737000122E2,2.040816307E0,3.000000000E0
1.684912241E1,6.532270510E1,2.537390063E1,1.038352607E1,1.289999962E0,2.742000122E2,1.530612230E0,3.000000000E0
1.784912189E1,6.532270736E1,2.537387053E1,1.038351495E1,1.209999919E0,2.712999878E2,1.530612230E0,3.000000000E0
1.884912150E1,6.532270895E1,2.537384287E1,9.383504950E0,1.329999924E0,2.692000122E2,1.530612230E0,3.000000000E0
1.984912111E1,6.532270866E1,2.537381019E1,1.038349414E1,1.279999971E0,2.681000061E2,1.530612230E0,3.000000000E0
2.084912067E1,6.532270644E1,2.537378252E1,9.383485897E0,1.459999919E0,2.685000000E2,1.530612230E0,3.000000000E0
2.184912031E1,6.532270439E1,2.537375344E1,8.383477103E0,1.459999919E0,2.702999878E2,1.530612230E0,3.000000000E0
2.284911982E1,6.532270606E1,2.537371941E1,9.383464930E0,1.419999957E0,2.727999878E2,1.530612230E0,3.000000000E0
2.384911949E1,6.532270669E1,2.537368831E1,9.383454225E0,1.250000000E0,2.756000061E2,1.530612230E0,3.000000000E0
2.484911904E1,6.532270765E1,2.537365537E1,9.383442746E0,1.490000010E0,2.782999878E2,1.530612230E0,3.000000000E0
2.584911868E1,6.532270883E1,2.537362436E1,9.383431817E0,1.419999957E0,2.762000122E2,1.530612230E0,3.000000000E0
2.684911838E1,6.532270900E1,2.537358756E1,9.383419414E0,1.389999986E0,2.758999939E2,1.530612230E0,3.000000000E0
2.784911801E1,6.532270933E1,2.537355403E1,8.383408029E0,1.549999952E0,2.768999939E2,1.530612230E0,3.000000000E0
2.884911761E1,6.532271055E1,2.537352503E1,8.383397754E0,1.409999967E0,2.807999878E2,1.530612230E0,2.000000000E0
2.984911737E1,6.532271469E1,2.537349318E1,9.383385170E0,1.419999957E0,2.812000122E2,1.020408154E0,2.000000000E0
3.084911702E1,6.532271943E1,2.537345949E1,9.383371696E0,1.539999962E0,2.793999939E2,1.530612230E0,2.000000000E0
3.184911669E1,6.532272278E1,2.537342370E1,9.383358160E0,1.480000019E0,2.787999878E2,1.020408154E0,2.000000000E0
3.284911634E1,6.532272538E1,2.537339184E1,9.383346291E0,1.419999957E0,2.787000122E2,1.020408154E0,2.000000000E0
3.384911614E1,6.532272764E1,2.537336016E1,9.383334633E0,1.409999967E0,2.778999939E2,1.020408154E0,2.000000000E0
3.484911584E1,6.532273049E1,2.537332596E1,9.383321861E0,1.519999981E0,2.796000061E2,1.020408154E0,2.000000000E0
